流水號,主編號,屬性,又音
1062,50747,又唸作,tsìn-tsū
1063,50754,又唸作,ha̍k-guân
1064,50759,又唸作,kuân-ik
1065,50766,又唸作,kóo-nóo
1066,50781,又唸作,hu̍t-bú
1067,50790,又唸作,ting-lio̍k
1068,50796,又唸作,uán-lî
1069,50834,又唸作,kóo-kuân
1070,50897,又唸作,suat-ho̍k
1071,50898,又唸作,kóng-pò
1072,50979,又唸作,hòng-bo̍k
1073,50994,又唸作,siū-kuân
1074,51004,又唸作,tsiàu-bîng
1075,51009,又唸作,ki̍k-tsîng
1076,51027,又唸作,tsuí-pênn
1077,51040,又唸作,pòo-buán
1078,51055,又唸作,liû-sing
1079,51057,又唸作,hua̍t-li̍k
1080,51061,又唸作,bí-biāu
1081,51110,又唸作,hun-lî
1082,51134,又唸作,thiat-ha̍k
1083,51158,又唸作,bô-hîng
1084,51167,又唸作,khài-hóng
1085,51201,又唸作,siu-lio̍k
1086,51213,又唸作,liû-thîng
1087,51221,又唸作,mn̄g-kǹg
1088,51272,又唸作,Ji̍t-ki̍k/Li̍t-ki̍k
1089,51281,又唸作,bîng-sû
1090,51338,又唸作,uī-i̍k
1091,51353,又唸作,tāi-to-sòo
1092,51373,又唸作,jio̍k-thé/lio̍k-thé
1093,51375,又唸作,tshuan-bîn
1094,51389,又唸作,khik-kuan
1095,51411,又唸作,tsuan-lâng
1096,51449,又唸作,lio̍k-tsè
1097,51460,又唸作,kìng-guân
1098,51471,又唸作,lāi-tsāi
1099,51525,又唸作,kim-khiok
1100,51526,又唸作,hîng-lio̍k
1101,51540,又唸作,tî-kuân
1102,51548,又唸作,kiông-kuân
1103,51551,又唸作,tshui-tián
1104,51582,又唸作,huè-khì-bu̍t
1105,51636,又唸作,pu̍t-tsu
1106,51661,又唸作,tsóo-la̍t
1107,51663,又唸作,sìn-lāi
1108,51678,又唸作,ti̍k-phài-guân
1109,51740,俗唸作,tsiàn-kàm
1110,51785,又唸作,kau-hiáng-khik
1111,51788,又唸作,hîng-kìng
1112,51797,又唸作,Pu̍t-tián
1113,51812,又唸作,hòng-ká
1114,51820,又唸作,tsa-sûn
1115,51830,又唸作,tiông-pòo
1116,51839,又唸作,hái-i̍k
1117,51898,又唸作,niá-tuī
1118,51908,又唸作,suán-īng
1119,51915,又唸作,sing-uān
1120,51923,又唸作,jîn-bīng
1121,51962,又唸作,kái-īng
1122,51972,又唸作,pun-pho
1123,51998,又唸作,tsa-khàn
1124,51999,又唸作,siong-pí
